title,production_company,country,language,running_time,budget,box_office,release_date,imdb,directed_by,produced_by,based_on,distributed_by,release_location
Escape from the Dark,Walt Disney Productions,United Kingdom,English,104.0,0.0,0.0,1976-05-26,6.7,Charles Jarrott,Ron Miller,No based,Buena Vista Distribution,UK
Escape from the Dark,Walt Disney Productions,United States,English,104.0,0.0,0.0,1976-05-26,6.7,Charles Jarrott,Ron Miller,No based,Buena Vista Distribution,UK
The Many Adventures of,Walt Disney Productions,United States,English,74.0,0.0,0.0,1977-03-11,7.6,John Lounsbery,Wolfgang Reitherman,Winnie-the-pooh,Buena Vista Distribution,Unknown
A Tale of Two Critters,Walt Disney Productions,United States,English,48.0,0.0,0.0,1977-06-22,7.1,Jack Speirs,Jack Speirs,No based,Buena Vista Distribution,Unknown
The Rescuers,Walt Disney Productions,United States,English,77.0,7.5,169.0,1977-06-22,6.9,Wolfgang Reitherman,Wolfgang Reitherman,The rescuers and miss bianca,Buena Vista Distribution,Unknown
Herbie Goes to Monte Carlo,Walt Disney Productions,United States,English,104.0,0.0,29.0,1977-06-24,5.7,Vincent McEveety,Ron Miller,Characters,Buena Vista Distribution,Unknown
Pete's Dragon,Walt Disney Productions,United States,English,128.0,10.0,3.6e-05,1977-11-03,6.7,Don Chaffey,Jerome Courtland,No based,Buena Vista Distribution,Unknown
Candleshoe,Walt Disney Productions,United States,English,101.0,0.0,0.0,1977-12-16,6.8,Norman Tokar,Ron Miller,Christmas at candleshoe novel,Buena Vista Distribution,Unknown
Return from Witch Mountain,Walt Disney Productions,United States,English,94.0,0.0,0.0,1978-03-10,5.8,John Hough,Ron Miller,Characters created,Buena Vista Distribution,Unknown
The Cat from Outer Space,Walt Disney Productions,United States,English,104.0,3.5,0.0,1978-06-30,6.1,Norman Tokar,Ron Miller,No based,Buena Vista Distribution,New York
Hot Lead and Cold Feet,Walt Disney Productions,United States,English,90.0,0.0,0.0,1978-07-05,6.2,Robert Butler,Ron Miller,No based,Buena Vista Distribution,Unknown
The North Avenue Irregulars,Walt Disney Productions,United States,English,100.0,0.0,0.0,1979-02-09,6.8,Bruce Bilson,Ron Miller,No based,Buena Vista Distribution,Unknown
The Apple Dumpling Gang Rides Again,Walt Disney Productions,United States,English,88.0,0.0,20.931111,1979-06-27,6.2,Vincent McEveety,Tom Leetch,No based,Buena Vista Distribution,Unknown
Unidentified Flying Oddball,Walt Disney Productions,United Kingdom,English,93.0,5.25,0.0,1979-07-19,5.3,Russ Mayberry,Ron Miller,A connecticut yankee in king arthurs court novel,Buena Vista Distribution,London
Unidentified Flying Oddball,Walt Disney Productions,United States,English,93.0,5.25,0.0,1979-07-19,5.3,Russ Mayberry,Ron Miller,A connecticut yankee in king arthurs court novel,Buena Vista Distribution,London
The Black Hole,Walt Disney Productions,United States,English,98.0,20.0,35.8,1979-12-18,6.0,Gary Nelson,Ron Miller,No based,Buena Vista Distribution,United Kingdom
The Omega Connection,Walt Disney Productions,United States,English,100.0,0.0,0.0,1979-12-21,6.7,Robert Clouse,Jan Williams,No based,Buena Vista Distribution,Unknown
Midnight Madness,Walt Disney Productions,United States,English,112.0,0.0,2.9,1980-02-08,6.5,Michael Nankin,Ron Miller,No based,Buena Vista Distribution,Unknown
The Watcher in the Woods,Walt Disney Productions,United States,English,84.0,9.0,5.0,1980-04-17,6.3,John Hough,Ron Miller,A watcher in the woods,Buena Vista Distribution,New York City
Herbie Goes Bananas,Walt Disney Productions,United States,English,98.0,0.0,18.0,1980-06-27,5.0,Vincent McEveety,Kevin Corcoran,Characters,Buena Vista Distribution,Unknown
The Last Flight of Noah's Ark,Walt Disney Productions,United States,English,97.0,6.0,11.0,1980-07-09,5.8,Charles Jarrott,Ron Miller,The gremlins castle,Buena Vista Distribution,Los Angeles
Popeye,Paramount Pictures,United States,English,114.0,20.0,60.0,1980-12-06,5.3,Robert Altman,Robert Evans,Popeye,Paramount Pictures (North America),Unknown
Popeye,Walt Disney Productions,United States,English,114.0,20.0,60.0,1980-12-06,5.3,Robert Altman,Robert Evans,Popeye,Paramount Pictures (North America),Unknown
Popeye,Robert Evans Productions,United States,English,114.0,20.0,60.0,1980-12-06,5.3,Robert Altman,Robert Evans,Popeye,Paramount Pictures (North America),Unknown
Popeye,King Features Entertainment,United States,English,114.0,20.0,60.0,1980-12-06,5.3,Robert Altman,Robert Evans,Popeye,Paramount Pictures (North America),Unknown
The Devil and Max Devlin,Walt Disney Productions,United States,English,96.0,0.0,16.0,1981-02-11,5.1,Steven Hilliard Stern,Jerome Courtland,No based,Buena Vista Distribution,Los Angeles
Amy,Walt Disney Productions,United States,English,100.0,0.0,0.0,1981-03-20,7.8,Vincent McEveety,Jerome Courtland,No based,Buena Vista Distribution,Unknown
Dragonslayer,Paramount Pictures,United States,English,109.0,18.0,14.1,1981-06-26,6.7,Matthew Robbins,Hal Barwood,No based,Paramount Pictures,Unknown
Dragonslayer,Walt Disney Productions,United States,English,109.0,18.0,14.1,1981-06-26,6.7,Matthew Robbins,Hal Barwood,No based,Paramount Pictures,Unknown
The Fox and the Hound,Walt Disney Productions,United States,English,83.0,12.0,63.5,1981-07-10,7.3,Ted Berman,Ron Miller,The fox and the hound,Buena Vista Distribution,Unknown
Condorman,Walt Disney Productions,United States,English,90.0,14.0,0.0,1981-08-07,5.7,Charles Jarrott,Jan Williams,The game of x,Buena Vista Distribution,Unknown
Night Crossing,Walt Disney Productions,United Kingdom,English,107.0,0.0,8.0,1982-02-05,6.5,Delbert Mann,Tom Leetch,No based,Buena Vista Distribution,Unknown
Night Crossing,Walt Disney Productions,United States,English,107.0,0.0,8.0,1982-02-05,6.5,Delbert Mann,Tom Leetch,No based,Buena Vista Distribution,Unknown
Tron,nan,United States,English,96.0,0.0,0.0,1982-07-09,6.8,Steven Lisberger,Donald Kushner,No based,Buena Vista Distribution,Unknown
Tex,Walt Disney Productions (promoted under the auspices of Touchstone Films),United States,English,103.0,5.0,7.4,1982-07-30,6.5,Tim Hunter,Tim Zinnemann,Tex,Buena Vista Distribution,Unknown
Trenchcoat,Walt Disney Productions,United States,English,91.0,0.0,4.304286,1983-03-11,5.3,Michael Tuchner,Jerry Leider,No based,Buena Vista Distribution,Unknown
Something Wicked This Way Comes,Walt Disney Productions,United States,English,95.0,19.0,8.4,1983-04-29,6.8,Jack Clayton,Peter Douglas,Something wicked this way comes,Buena Vista Distribution,United States
Something Wicked This Way Comes,Bryna Productions,United States,English,95.0,19.0,8.4,1983-04-29,6.8,Jack Clayton,Peter Douglas,Something wicked this way comes,Buena Vista Distribution,United States
Never Cry Wolf,Walt Disney Pictures,United States,English,105.0,11.0,27.6,1983-10-07,7.5,Carroll Ballard,Lewis Allen,The autobiography,Buena Vista Distribution,limited
Never Cry Wolf,Walt Disney Pictures,United States,Inuktitut,105.0,11.0,27.6,1983-10-07,7.5,Carroll Ballard,Lewis Allen,The autobiography,Buena Vista Distribution,limited
Never Cry Wolf,Amarok Productions Ltd.,United States,English,105.0,11.0,27.6,1983-10-07,7.5,Carroll Ballard,Lewis Allen,The autobiography,Buena Vista Distribution,limited
Never Cry Wolf,Amarok Productions Ltd.,United States,Inuktitut,105.0,11.0,27.6,1983-10-07,7.5,Carroll Ballard,Lewis Allen,The autobiography,Buena Vista Distribution,limited
Return to Oz,Walt Disney Pictures,United States,English,113.0,28.0,11.1,1985-06-21,6.7,Walter Murch,Paul Maslansky,The marvelous land of oz and ozma of oz,Buena Vista Distribution,United States
Return to Oz,Walt Disney Pictures,United Kingdom,English,113.0,28.0,11.1,1985-06-21,6.7,Walter Murch,Paul Maslansky,The marvelous land of oz and ozma of oz,Buena Vista Distribution,United States
Return to Oz,Silver Screen Partners II,United States,English,113.0,28.0,11.1,1985-06-21,6.7,Walter Murch,Paul Maslansky,The marvelous land of oz and ozma of oz,Buena Vista Distribution,United States
Return to Oz,Silver Screen Partners II,United Kingdom,English,113.0,28.0,11.1,1985-06-21,6.7,Walter Murch,Paul Maslansky,The marvelous land of oz and ozma of oz,Buena Vista Distribution,United States
The Black Cauldron,Walt Disney Pictures,United States,English,80.0,25.0,21.3,1985-07-26,6.4,Ted Berman,Joe Hale,The book of three and the black cauldron,Buena Vista Distribution,Unknown
The Black Cauldron,Walt Disney Productions,United States,English,80.0,25.0,21.3,1985-07-26,6.4,Ted Berman,Joe Hale,The book of three and the black cauldron,Buena Vista Distribution,Unknown
The Black Cauldron,Silver Screen Partners II,United States,English,80.0,25.0,21.3,1985-07-26,6.4,Ted Berman,Joe Hale,The book of three and the black cauldron,Buena Vista Distribution,Unknown
The Journey of Natty Gann,Walt Disney Pictures,United States,English,101.0,0.0,9.7,1985-09-27,7.1,Jeremy Kagan,Mike Lobell,No based,Buena Vista Distribution,Unknown
The Journey of Natty Gann,Silver Screen Partners II,United States,English,101.0,0.0,9.7,1985-09-27,7.1,Jeremy Kagan,Mike Lobell,No based,Buena Vista Distribution,Unknown
One Magic Christmas,Walt Disney Pictures,United States,English,89.0,0.0,13.677222,1985-11-22,6.5,Phillip Borsos,Peter OBrian,No based,Buena Vista Distribution,Unknown
One Magic Christmas,Walt Disney Pictures,Canada,English,89.0,0.0,13.677222,1985-11-22,6.5,Phillip Borsos,Peter OBrian,No based,Buena Vista Distribution,Unknown
One Magic Christmas,Silver Screen Partners II,United States,English,89.0,0.0,13.677222,1985-11-22,6.5,Phillip Borsos,Peter OBrian,No based,Buena Vista Distribution,Unknown
One Magic Christmas,Silver Screen Partners II,Canada,English,89.0,0.0,13.677222,1985-11-22,6.5,Phillip Borsos,Peter OBrian,No based,Buena Vista Distribution,Unknown
One Magic Christmas,Telefilm Canada,United States,English,89.0,0.0,13.677222,1985-11-22,6.5,Phillip Borsos,Peter OBrian,No based,Buena Vista Distribution,Unknown
One Magic Christmas,Telefilm Canada,Canada,English,89.0,0.0,13.677222,1985-11-22,6.5,Phillip Borsos,Peter OBrian,No based,Buena Vista Distribution,Unknown
The Great Mouse Detective,Walt Disney Pictures,United States,English,74.0,14.0,38.7,1986-07-02,7.2,Ron Clements,Burny Mattinson,Basil of baker street,Buena Vista Distribution,Unknown
The Great Mouse Detective,Walt Disney Feature Animation,United States,English,74.0,14.0,38.7,1986-07-02,7.2,Ron Clements,Burny Mattinson,Basil of baker street,Buena Vista Distribution,Unknown
The Great Mouse Detective,Silver Screen Partners II,United States,English,74.0,14.0,38.7,1986-07-02,7.2,Ron Clements,Burny Mattinson,Basil of baker street,Buena Vista Distribution,Unknown
Flight of the Navigator,PSO Productions,United States,English,90.0,9.0,18.564613,1986-08-01,6.9,Randal Kleiser,Dimitri Villard,No based,PSO Productions (outside North America),Unknown
Flight of the Navigator,PSO Productions,Norway,English,90.0,9.0,18.564613,1986-08-01,6.9,Randal Kleiser,Dimitri Villard,No based,PSO Productions (outside North America),Unknown
Flight of the Navigator,Viking Film AS,United States,English,90.0,9.0,18.564613,1986-08-01,6.9,Randal Kleiser,Dimitri Villard,No based,PSO Productions (outside North America),Unknown
Flight of the Navigator,Viking Film AS,Norway,English,90.0,9.0,18.564613,1986-08-01,6.9,Randal Kleiser,Dimitri Villard,No based,PSO Productions (outside North America),Unknown
Benji the Hunted,Walt Disney Pictures,United States,English,89.0,0.0,22.3,1987-06-05,6.3,Joe Camp,Ben Vaughn,No based,Buena Vista Distribution,Unknown
Benji the Hunted,Mulberry Square Productions,United States,English,89.0,0.0,22.3,1987-06-05,6.3,Joe Camp,Ben Vaughn,No based,Buena Vista Distribution,Unknown
Benji the Hunted,Silver Screen Partners III,United States,English,89.0,0.0,22.3,1987-06-05,6.3,Joe Camp,Ben Vaughn,No based,Buena Vista Distribution,Unknown
The Man from Snowy River II,Walt Disney Pictures,Australia,English,110.0,8.7,13.687027,1988-03-24,6.7,Geoff Burrowes,Geoff Burrowes,No based,Buena Vista Pictures,Australia
The Man from Snowy River II,Silver Screen Partners III,Australia,English,110.0,8.7,13.687027,1988-03-24,6.7,Geoff Burrowes,Geoff Burrowes,No based,Buena Vista Pictures,Australia
The Man from Snowy River II,Burrowes Film Group,Australia,English,110.0,8.7,13.687027,1988-03-24,6.7,Geoff Burrowes,Geoff Burrowes,No based,Buena Vista Pictures,Australia
The Man from Snowy River II,The Hoyts Group,Australia,English,110.0,8.7,13.687027,1988-03-24,6.7,Geoff Burrowes,Geoff Burrowes,No based,Buena Vista Pictures,Australia
Oliver & Company,Walt Disney Pictures,United States,English,74.0,31.0,121.0,1988-11-18,6.7,George Scribner,Unknown,Oliver twist,Buena Vista Pictures Distribution,Unknown
Oliver & Company,Walt Disney Feature Animation,United States,English,74.0,31.0,121.0,1988-11-18,6.7,George Scribner,Unknown,Oliver twist,Buena Vista Pictures Distribution,Unknown
Oliver & Company,Silver Screen Partners III,United States,English,74.0,31.0,121.0,1988-11-18,6.7,George Scribner,Unknown,Oliver twist,Buena Vista Pictures Distribution,Unknown
"Honey, I Shrunk the Kids",Walt Disney Pictures,United States,English,93.0,18.0,222.7,1989-06-23,6.4,Joe Johnston,Penney Finkelman Cox,No based,Buena Vista Pictures,Unknown
"Honey, I Shrunk the Kids",Silver Screen Partners III,United States,English,93.0,18.0,222.7,1989-06-23,6.4,Joe Johnston,Penney Finkelman Cox,No based,Buena Vista Pictures,Unknown
Cheetah,Walt Disney Pictures,United States,English,84.0,5.0,8.153677,1989-08-18,6.1,Jeff Blyth,Roy E. Disney,The cheetahs,Buena Vista Pictures,Unknown
Cheetah,Silver Screen Partners III,United States,English,84.0,5.0,8.153677,1989-08-18,6.1,Jeff Blyth,Roy E. Disney,The cheetahs,Buena Vista Pictures,Unknown
The Little Mermaid,nan,United States,English,83.0,40.0,0.0,1989-11-17,7.6,Ron Clements,John Musker,The little mermaid,Buena Vista Pictures,Unknown
DuckTales the Movie: Treasure of the Lost Lamp,nan,United States,English,69.0,20.0,18.1,1990-08-03,6.9,Bob Hathcock,Bob Hathcock,Ducktales,Buena Vista Pictures Distribution,Unknown
The Rescuers Down Under,Walt Disney Pictures,United States,English,77.0,0.0,47.4,1990-11-16,6.9,Hendel Butoy,Thomas Schumacher,Characters created,Buena Vista Pictures,Unknown
The Rescuers Down Under,Walt Disney Feature Animation,United States,English,77.0,0.0,47.4,1990-11-16,6.9,Hendel Butoy,Thomas Schumacher,Characters created,Buena Vista Pictures,Unknown
The Rescuers Down Under,Silver Screen Partners IV,United States,English,77.0,0.0,47.4,1990-11-16,6.9,Hendel Butoy,Thomas Schumacher,Characters created,Buena Vista Pictures,Unknown
White Fang,Walt Disney Pictures,United States,English,107.0,14.0,34.8,1991-01-18,6.7,Randal Kleiser,Markay Powell,White fang,Buena Vista Pictures,Unknown
White Fang,Silver Screen Partners IV,United States,English,107.0,14.0,34.8,1991-01-18,6.7,Randal Kleiser,Markay Powell,White fang,Buena Vista Pictures,Unknown
Shipwrecked,Walt Disney Pictures,Norway,Norwegian,93.0,8.7,15.1,1990-10-03,6.7,Nils Gaup,John M. Jacobsen,No based,Buena Vista Pictures,Unknown
Shipwrecked,Walt Disney Pictures,Norway,English,93.0,8.7,15.1,1990-10-03,6.7,Nils Gaup,John M. Jacobsen,No based,Buena Vista Pictures,Unknown
Shipwrecked,Walt Disney Pictures,Sweden,Norwegian,93.0,8.7,15.1,1990-10-03,6.7,Nils Gaup,John M. Jacobsen,No based,Buena Vista Pictures,Unknown
Shipwrecked,Walt Disney Pictures,Sweden,English,93.0,8.7,15.1,1990-10-03,6.7,Nils Gaup,John M. Jacobsen,No based,Buena Vista Pictures,Unknown
Shipwrecked,Walt Disney Pictures,United States,Norwegian,93.0,8.7,15.1,1990-10-03,6.7,Nils Gaup,John M. Jacobsen,No based,Buena Vista Pictures,Unknown
Shipwrecked,Walt Disney Pictures,United States,English,93.0,8.7,15.1,1990-10-03,6.7,Nils Gaup,John M. Jacobsen,No based,Buena Vista Pictures,Unknown
Shipwrecked,AB Svensk Filmindustri,Norway,Norwegian,93.0,8.7,15.1,1990-10-03,6.7,Nils Gaup,John M. Jacobsen,No based,Buena Vista Pictures,Unknown
Shipwrecked,AB Svensk Filmindustri,Norway,English,93.0,8.7,15.1,1990-10-03,6.7,Nils Gaup,John M. Jacobsen,No based,Buena Vista Pictures,Unknown
Shipwrecked,AB Svensk Filmindustri,Sweden,Norwegian,93.0,8.7,15.1,1990-10-03,6.7,Nils Gaup,John M. Jacobsen,No based,Buena Vista Pictures,Unknown
Shipwrecked,AB Svensk Filmindustri,Sweden,English,93.0,8.7,15.1,1990-10-03,6.7,Nils Gaup,John M. Jacobsen,No based,Buena Vista Pictures,Unknown
Shipwrecked,AB Svensk Filmindustri,United States,Norwegian,93.0,8.7,15.1,1990-10-03,6.7,Nils Gaup,John M. Jacobsen,No based,Buena Vista Pictures,Unknown
Shipwrecked,AB Svensk Filmindustri,United States,English,93.0,8.7,15.1,1990-10-03,6.7,Nils Gaup,John M. Jacobsen,No based,Buena Vista Pictures,Unknown
Wild Hearts Can't Be Broken,Walt Disney Pictures,United States,English,88.0,0.0,7.3,1991-05-24,7.2,Steve Miner,Matt Williams,A girl and five brave horses,Buena Vista Pictures,Unknown
The Rocketeer,nan,United States,English,108.0,35.0,46.7,1991-06-21,6.5,Joe Johnston,Charles Gordon,The rocketeer,Buena Vista Pictures,Unknown
Beauty and the Beast,nan,United States,English,84.0,25.0,440.1,1991-09-29,8.0,Gary Trousdale,Don Hahn,Beauty and the beast,Buena Vista Pictures,NYFF
Newsies,Walt Disney Pictures,United States,English,121.0,15.0,2.8,1992-04-10,7.0,Kenny Ortega,Michael Finnell,No based,Buena Vista Pictures,Unknown
"Honey, I Blew Up the Kid",Walt Disney Pictures,United States,English,89.0,40.0,58.7,1992-07-17,4.9,Randal Kleiser,Dawn Steel,Stuart gordon brian yuzna ed naha,Buena Vista Pictures,Unknown
"Honey, I Blew Up the Kid",Touchwood Pacific Partners,United States,English,89.0,40.0,58.7,1992-07-17,4.9,Randal Kleiser,Dawn Steel,Stuart gordon brian yuzna ed naha,Buena Vista Pictures,Unknown
The Mighty Ducks,Walt Disney Pictures,United States,English,104.0,14.0,50.8,1992-10-02,6.5,Stephen Herek,Jon Avnet,No based,Buena Vista Pictures,Unknown
The Mighty Ducks,Avnet– Kerner Productions,United States,English,104.0,14.0,50.8,1992-10-02,6.5,Stephen Herek,Jon Avnet,No based,Buena Vista Pictures,Unknown
The Mighty Ducks,Touchwood Pacific Partners I,United States,English,104.0,14.0,50.8,1992-10-02,6.5,Stephen Herek,Jon Avnet,No based,Buena Vista Pictures,Unknown
Aladdin,nan,United States,English,90.0,28.0,504.1,1992-11-25,8.0,John Musker,John Musker,Aladdin and the magic lamp from one thousand and one nights,Buena Vista Pictures,Unknown
The Muppet Christmas Carol,nan,United States,English,86.0,12.0,27.2,1992-12-11,7.7,Brian Henson,Brian Henson,A christmas carol,Buena Vista Pictures Distribution,Unknown
Homeward Bound: The Incredible Journey,Walt Disney Pictures,United States,English,84.0,0.0,41.8,1993-02-03,6.9,Duwayne Dunham,Jeffrey Chernov,The incredible journey,Buena Vista Pictures,Unknown
A Far Off Place,Walt Disney Pictures,United States,English,108.0,0.0,12.9,1993-03-12,6.6,Mikael Salomon,Eva Monley,A story like the wind and a far off place,Buena Vista Pictures,Unknown
A Far Off Place,Amblin Entertainment,United States,English,108.0,0.0,12.9,1993-03-12,6.6,Mikael Salomon,Eva Monley,A story like the wind and a far off place,Buena Vista Pictures,Unknown
A Far Off Place,Touchwood Pacific Partners,United States,English,108.0,0.0,12.9,1993-03-12,6.6,Mikael Salomon,Eva Monley,A story like the wind and a far off place,Buena Vista Pictures,Unknown
The Adventures of Huck Finn,Walt Disney Pictures,United States,English,107.0,6.5,24.1,1993-04-02,6.2,Stephen Sommers,John Baldecchi,Adventures of huckleberry finn,Buena Vista Pictures,Unknown
Hocus Pocus,Walt Disney Pictures,United States,English,96.0,28.0,39.5,1993-07-16,6.9,Kenny Ortega,David Kirschner,No based,Buena Vista Pictures,Unknown
Cool Runnings,Walt Disney Pictures,United States,English,98.0,17.0,154.9,1993-10-01,7.0,Jon Turteltaub,Dawn Steel,No based,Buena Vista Pictures,Unknown
The Three Musketeers,Walt Disney Pictures,United States,English,105.0,30.0,53.9,1993-11-12,5.7,Stephen Herek,Roger Birnbaum,By,Buena Vista Pictures,Unknown
The Three Musketeers,Walt Disney Pictures,Austria,English,105.0,30.0,53.9,1993-11-12,5.7,Stephen Herek,Roger Birnbaum,By,Buena Vista Pictures,Unknown
The Three Musketeers,Caravan Pictures,United States,English,105.0,30.0,53.9,1993-11-12,5.7,Stephen Herek,Roger Birnbaum,By,Buena Vista Pictures,Unknown
The Three Musketeers,Caravan Pictures,Austria,English,105.0,30.0,53.9,1993-11-12,5.7,Stephen Herek,Roger Birnbaum,By,Buena Vista Pictures,Unknown
The Three Musketeers,Avnet–Kerner Productions (uncredited),United States,English,105.0,30.0,53.9,1993-11-12,5.7,Stephen Herek,Roger Birnbaum,By,Buena Vista Pictures,Unknown
The Three Musketeers,Avnet–Kerner Productions (uncredited),Austria,English,105.0,30.0,53.9,1993-11-12,5.7,Stephen Herek,Roger Birnbaum,By,Buena Vista Pictures,Unknown
Iron Will,Walt Disney Pictures,United States,English,108.0,0.0,21.0,1994-01-14,6.6,Charles Haid,Patrick J. Palmer,No based,Buena Vista Pictures,Unknown
Blank Check,Walt Disney Pictures,United States,English,94.0,13.0,30.6,1994-02-11,5.3,Rupert Wainwright,Gary Adelson,No based,Buena Vista Pictures,Unknown
D2: The Mighty Ducks,Walt Disney Pictures,United States,English,106.0,0.0,45.6,1994-03-25,6.1,Sam Weisman,Jon Avnet,Characters,Buena Vista Pictures,Unknown
D2: The Mighty Ducks,Avnet–Kerner Productions,United States,English,106.0,0.0,45.6,1994-03-25,6.1,Sam Weisman,Jon Avnet,Characters,Buena Vista Pictures,Unknown
White Fang 2: Myth of the White Wolf,Walt Disney Pictures,United States,English,102.0,0.0,8.878839,1994-04-15,5.4,Ken Olin,Preston Fischer,No based,Buena Vista Pictures,Unknown
The Lion King,Walt Disney Pictures,United States,English,88.0,45.0,968.5,1994-06-15,8.5,Roger Allers,Don Hahn,Hamlet,Buena Vista Pictures,Unknown
The Lion King,Walt Disney Feature Animation,United States,English,88.0,45.0,968.5,1994-06-15,8.5,Roger Allers,Don Hahn,Hamlet,Buena Vista Pictures,Unknown
Angels in the Outfield,Walt Disney Pictures,United States,English,102.0,31.0,50.2,1994-07-15,6.2,William Dear,Irby Smith,Angels in the outfield,Buena Vista Pictures,Unknown
Angels in the Outfield,Caravan Pictures,United States,English,102.0,31.0,50.2,1994-07-15,6.2,William Dear,Irby Smith,Angels in the outfield,Buena Vista Pictures,Unknown
Squanto: A Warrior's Tale,Walt Disney Pictures,United States,English,102.0,0.0,3.337685,1994-10-28,6.0,Xavier Koller,Kathryn F. Galan,No based,Buena Vista Pictures,Unknown
Squanto: A Warrior's Tale,Walt Disney Pictures,Canada,English,102.0,0.0,3.337685,1994-10-28,6.0,Xavier Koller,Kathryn F. Galan,No based,Buena Vista Pictures,Unknown
The Santa Clause,Walt Disney Pictures,United States,English,97.0,22.0,189.8,1994-11-11,6.5,John Pasquin,Robert Newmyer,No based,Buena Vista Pictures,Unknown
Rudyard Kipling's The Jungle Book,nan,United States,English,111.0,30.0,43.2,1994-12-25,6.7,Stephen Sommers,Edward S. Feldman,The jungle book and the second jungle book,Buena Vista Pictures,Unknown
Heavyweights,Walt Disney Pictures,United States,English,100.0,0.0,17.6,1995-02-17,6.7,Steven Brill,Roger Birnbaum,No based,Buena Vista Pictures,Unknown
Heavyweights,Caravan Pictures,United States,English,100.0,0.0,17.6,1995-02-17,6.7,Steven Brill,Roger Birnbaum,No based,Buena Vista Pictures,Unknown
Man of the House,Walt Disney Pictures,United States,English,96.0,22.0,40.070995,1995-03-03,5.4,James Orr,Bonnie Bruckheimer,No based,Buena Vista Pictures,Unknown
Man of the House,All Girl Productions,United States,English,96.0,22.0,40.070995,1995-03-03,5.4,James Orr,Bonnie Bruckheimer,No based,Buena Vista Pictures,Unknown
Man of the House,Orr & Cruickshank Productions,United States,English,96.0,22.0,40.070995,1995-03-03,5.4,James Orr,Bonnie Bruckheimer,No based,Buena Vista Pictures,Unknown
Tall Tale,Walt Disney Pictures,United States,English,98.0,32.0,11.0,1995-03-24,5.9,Jeremiah S. Chechik,Roger Birnbaum,No based,Buena Vista Pictures,Unknown
Tall Tale,Caravan Pictures,United States,English,98.0,32.0,11.0,1995-03-24,5.9,Jeremiah S. Chechik,Roger Birnbaum,No based,Buena Vista Pictures,Unknown
A Goofy Movie,nan,United States,English,78.0,0.0,35.3,1995-04-07,6.8,Kevin Lima,Dan Rounds,Robert taylor michael peraza jr.,Buena Vista Pictures Distribution,Unknown
Pocahontas,Walt Disney Pictures,United States,English,81.0,55.0,346.1,1995-06-23,6.7,Mike Gabriel,Jim Pentecost,Pocahontas,Buena Vista Pictures,Unknown
Pocahontas,Walt Disney Feature Animation,United States,English,81.0,55.0,346.1,1995-06-23,6.7,Mike Gabriel,Jim Pentecost,Pocahontas,Buena Vista Pictures,Unknown
Operation Dumbo Drop,Walt Disney Pictures,nan,English,108.0,24.0,24.670346,1995-07-28,5.1,Simon Wincer,Diane Nabatoff,No based,Buena Vista Pictures,Unknown
Operation Dumbo Drop,Walt Disney Pictures,nan,Vietnamese,108.0,24.0,24.670346,1995-07-28,5.1,Simon Wincer,Diane Nabatoff,No based,Buena Vista Pictures,Unknown
Operation Dumbo Drop,Interscope Communications,nan,English,108.0,24.0,24.670346,1995-07-28,5.1,Simon Wincer,Diane Nabatoff,No based,Buena Vista Pictures,Unknown
Operation Dumbo Drop,Interscope Communications,nan,Vietnamese,108.0,24.0,24.670346,1995-07-28,5.1,Simon Wincer,Diane Nabatoff,No based,Buena Vista Pictures,Unknown
Operation Dumbo Drop,PolyGram Filmed Entertainment,nan,English,108.0,24.0,24.670346,1995-07-28,5.1,Simon Wincer,Diane Nabatoff,No based,Buena Vista Pictures,Unknown
Operation Dumbo Drop,PolyGram Filmed Entertainment,nan,Vietnamese,108.0,24.0,24.670346,1995-07-28,5.1,Simon Wincer,Diane Nabatoff,No based,Buena Vista Pictures,Unknown
A Kid in King Arthur's Court,Walt Disney Pictures,nan,English,89.0,15.0,13.4,1995-08-11,4.7,Michael Gottlieb,Peter Abrams,No based,Buena Vista Pictures,Unknown
A Kid in King Arthur's Court,Trimark Pictures,nan,English,89.0,15.0,13.4,1995-08-11,4.7,Michael Gottlieb,Peter Abrams,No based,Buena Vista Pictures,Unknown
A Kid in King Arthur's Court,Tapestry Films,nan,English,89.0,15.0,13.4,1995-08-11,4.7,Michael Gottlieb,Peter Abrams,No based,Buena Vista Pictures,Unknown
The Big Green,Walt Disney Pictures,United States,English,99.0,12.0,17.7,1995-09-29,5.6,Holly Goldberg Sloan,Dennis Bishop,No based,Buena Vista Pictures,Unknown
The Big Green,Caravan Pictures,United States,English,99.0,12.0,17.7,1995-09-29,5.6,Holly Goldberg Sloan,Dennis Bishop,No based,Buena Vista Pictures,Unknown
The Big Green,Roger Birnbaum Productions,United States,English,99.0,12.0,17.7,1995-09-29,5.6,Holly Goldberg Sloan,Dennis Bishop,No based,Buena Vista Pictures,Unknown
Frank and Ollie,Theodore Thomas Productions,United States,English,89.0,0.0,0.0,1995-01-22,7.8,Theodore Thomas,Kuniko Okubo,No based,Buena Vista Pictures,Sundance Film Festival
Frank and Ollie,Walt Disney Pictures,United States,English,89.0,0.0,0.0,1995-01-22,7.8,Theodore Thomas,Kuniko Okubo,No based,Buena Vista Pictures,Sundance Film Festival
Toy Story,Walt Disney Pictures,United States,English,81.0,30.0,373.6,1995-11-19,8.3,John Lasseter,Bonnie Arnold,No based,Buena Vista Pictures Distribution,El Capitan Theatre
